step,active_trains,avg_speed,congestion_index,overtake_events,junction_conflicts,dynamic_switches
300,3,33.333333333333336,0.24242424242424232,0,0,0
301,3,33.333333333333336,0.24242424242424232,0,0,0
302,3,33.333333333333336,0.24242424242424232,0,0,0
303,3,33.333333333333336,0.24242424242424232,0,0,0
304,3,33.333333333333336,0.24242424242424232,0,0,0
305,3,33.333333333333336,0.24242424242424232,0,0,0
306,3,33.333333333333336,0.24242424242424232,0,0,0
307,3,33.333333333333336,0.24242424242424232,0,0,0
308,3,33.333333333333336,0.24242424242424232,0,0,0
309,3,33.333333333333336,0.24242424242424232,0,0,0
310,3,33.333333333333336,0.24242424242424232,0,0,0
311,3,33.333333333333336,0.24242424242424232,0,0,0
312,3,33.333333333333336,0.24242424242424232,0,0,0
313,3,33.333333333333336,0.24242424242424232,0,0,0
314,3,33.333333333333336,0.24242424242424232,0,0,0
315,3,33.333333333333336,0.24242424242424232,0,0,0
316,3,33.333333333333336,0.24242424242424232,0,0,0
317,3,33.333333333333336,0.24242424242424232,0,0,0
318,3,33.333333333333336,0.24242424242424232,0,0,0
319,3,33.333333333333336,0.24242424242424232,0,0,0
320,3,33.333333333333336,0.24242424242424232,0,0,0
321,3,33.333333333333336,0.24242424242424232,0,0,0
322,3,33.333333333333336,0.24242424242424232,0,0,0
323,3,33.333333333333336,0.24242424242424232,0,0,0
324,3,33.333333333333336,0.24242424242424232,0,0,0
325,3,33.333333333333336,0.24242424242424232,0,0,0
326,3,33.333333333333336,0.24242424242424232,0,0,0
327,3,33.333333333333336,0.24242424242424232,0,0,0
328,3,33.333333333333336,0.24242424242424232,0,0,0
329,3,33.333333333333336,0.24242424242424232,0,0,0
330,3,33.333333333333336,0.24242424242424232,0,0,0
331,3,33.333333333333336,0.24242424242424232,0,0,0
332,3,33.333333333333336,0.24242424242424232,0,0,0
333,3,33.333333333333336,0.24242424242424232,0,0,0
334,3,33.333333333333336,0.24242424242424232,0,0,0
335,3,33.333333333333336,0.24242424242424232,0,0,0
336,3,33.333333333333336,0.24242424242424232,0,0,0
337,3,33.333333333333336,0.24242424242424232,0,0,0
338,3,33.333333333333336,0.24242424242424232,0,0,0
339,3,33.333333333333336,0.24242424242424232,0,0,0
340,3,33.333333333333336,0.24242424242424232,0,0,0
341,3,33.333333333333336,0.24242424242424232,0,0,0
342,3,33.333333333333336,0.24242424242424232,0,0,0
